name,countryabbr
Australian National University,au
CMI,in
Chinese Academy of Sciences,cn
Chinese University of Hong Kong,hk
DTU,dk
Durham University,uk
ETH Zurich,ch
ETS Montreal,ca
Federal University of Rio Grande,br
Freie Universitaet Berlin,de
Galatasaray University,tr
Goethe University Frankfurt,de
Goldsmiths University of London,uk
Harbin Institute of Technology,cn
IISc Bangalore,in
IIT Bombay,in
IIT Delhi,in
Imperial College London,uk
Korea University,kr
McGill University,ca
Monash University,au
National Taiwan University,tw
National University of Singapore,sg
Osaka University,jp
Seoul National University,kr
TU Braunschweig,de
The Hong Kong Polytechnic University,hk
Tokyo Institute of Technology,jp
University College London,uk
University of British Columbia,ca
University of Cambridge,uk
University of Copenhagen,dk
University of Hong Kong,hk
University of Manchester,uk
University of Melbourne,au
University of Ottawa,ca
University of Oxford,uk
Uppsala University,se
