id,title,year,venue_id
78158,Proceedings of the first european conference on Computer vision,1990,1
78162,On scale and resolution in the analysis of local image structure,1990,1
78163,Optimal filter for edge detection methods and results,1990,1
78165,Biased anisotropic diffusion—a unified regularization and diffusion approach to edge detection,1990,1
78166,Hierarchical image analysis using irregular tessellations,1990,1
78167,A bit plane architecture for an image analysis processor implemented with P.L.C.A. gate array,1990,1
78169,Scale-space singularities,1990,1
78170,Recursive filtering and edge closing: two primary tools for 3-D edge detection,1990,1
78172,Edge contours using multiple scales,1990,1
78174,Stereo integration, mean field theory and psychophysics,1990,1
78175,A pyramidal stereovision algorithm based on contour chain points,1990,1
78176,Parallel and deterministic algorithms from MRFs: surface reconstruction and integration,1990,1
78177,Parallel multiscale stereo matching using adaptive smoothing,1990,1
78179,On the motion of 3-D curves and its relationship to optical flow,1990,1
78181,Structure-from-motion under orthographic projection,1990,1
78182,Parallel computation of optic flow,1990,1
78183,Obstacle detection by evaluation of optical flow fields,1990,1
78184,Extending the `oriented smoothness constraint' into the temporal domain and the estimation of derivatives of optical flow,1990,1
78187,A comparison of stochastic and deterministic solution methods in Bayesian estimation of 2-D motion,1990,1
78190,Motion determination in space-time images,1990,1
78191,Ambiguity in reconstruction from image correspondences,1990,1
78193,An optimal solution for mobile camera calibration,1990,1
78194,Analytical results on error sensitivity of motion estimation from two views,1990,1
78195,On the estimation of depth from motion using an anthropomorphic visual sensor,1990,1
78197,The derivation of qualitative information in motion analysis,1990,1
78198,Road following algorithm using a panned plan-view transformation,1990,1
78199,3-D-vision-based robot navigation: first steps,1990,1
78200,Dynamic world modeling using vertical line stereo,1990,1
78202,Tracking in a complex visual environment,1990,1
78204,Tracking line segments,1990,1
78205,Measurement and integration of 3-D structures by tracking edge lines,1990,1
78208,Estimation of 3-D motion and structure from tracking 2-D lines in a sequence of images,1990,1
78209,The incremental rigidity scheme for structure from motion: the line-based formulation,1990,1
78210,Object detection using model based prediction and motion parallax,1990,1
78211,Detection and tracking of moving objects based on a statistical regularization method in space and time,1990,1
78212,Vertical and horizontal disparities from phase,1990,1
78213,Stereo correspondence from optic flow,1990,1
78214,A model for the estimate of local image velocity,1990,1
78215,Direct evidence for occlusion in stereo and motion,1990,1
78217,On the use of trajectory information to assist stereopsis in a dynamic environment,1990,1
78220,Distributed learning of texture classification,1990,1
78222,Fast shape from shading,1990,1
78223,Inverse perspective of a triangle: new exact and approximate solutions,1990,1
78224,Finding geometric and relational structures in an image,1990,1
78225,Recovery of volumetric object descriptions from laser rangefinder images,1990,1
78227,Extraction of deformable part models,1990,1
78228,Toward a computational theory of shape: an overview,1990,1
78229,Stabilized solution for 3-D model parameters,1990,1
78231,Deformable templates for features extraction from medical images,1990,1
78232,Changing surface structure,1990,1
78234,Projectively invariant representations using implicit algebraic curves,1990,1
78235,Shape from contour using symmetries,1990,1
78236,Using occluding contours for 3-D object modeling,1990,1
78237,Robust estimation of surface curvature from deformation of parent contours,1990,1
78239,Spatial localization of modelled objects of revolution in monocular perspective vision,1990,1
78242,On the verification of hypothesized matches in model-based recognition,1990,1
78244,Object recognition using local geometric constraints: a robust alternative to tree-search,1990,1
78247,SIMD geometric matching,1990,1
78250,A 3-D interpretation system based on consistent labeling of a set of propositions—application to the interpretation of straight line correspondences,1990,1
78251,Model-based object recognition by geometric hashing,1990,1
78252,An analysis of knowledge representation schemes for high level vision,1990,1
78254,Experiments on the use of the ATMS to label features for object recognition,1990,1
78256,The combinatorics of heuristic search termination for object recognition,1990,1
78257,Combinatorial characterization of perspective projections from polyhedral object scenes,1990,1
78259,Estimation of curvature in 3-D images using tensor field filtering,1990,1
78261,Transparent-motion analysis,1990,1
78262,Snake growing,1990,1
78264,Local cross-modality image alignment using unsupervised learning,1990,1
78265,A heterogeneous vision architecture,1990,1
78267,Spatial context in an image analysis system,1990,1
78271,Object detection and identification by hierarchical segmentation,1990,1
78273,Shading into texture and texture into shading: an active approach,1990,1
78274,3-D curve matching using splines,1990,1
78276,The dynamic generalized Hough transform,1990,1
78277,The analysis of time varying image sequences,1990,1
78279,On the use of motion concepts for top-down control in traffic scenes,1990,1
78339,Final steps towards real time trinocular stereovision,1990,1
78340,B-spline contour representation and symmetry detection,1990,1
78341,Using neural networks to learn shape decomposition by successive prototypication,1990,1
78342,Shape and mutual cross-ratios with applications to exterior, interior and relative orientation,1990,1
78343,Adapting computer vision systems to the visual environment: topographic mapping,1990,1
78345,Stereo matching based on a combination of simple features used for matching in temporal image sequences,1990,1
89052,Speaker independent phonetic transcription of fluent speech for large vocabulary speech recognition,1989,8
89053,Rapid porting of the Parlance natural language interface,1989,8
89054,A common facts data base,1989,8
