article_id_1,article_id_2
457777,457781
458090,457786
458020,457813
458033,457814
458020,457815
457846,457819
458038,457819
458100,457819
458107,457819
635685,457819
635697,457820
635689,457823
457812,457824
458083,457824
635726,457828
458083,457829
458087,457829
458089,457829
458107,457829
635683,457829
458100,457830
458107,457830
635735,457830
635749,457830
635753,457833
458100,457835
458105,457835
458107,457835
635739,457837
458059,457838
458124,457838
458030,457841
458059,457842
635689,457842
635723,457843
457819,457846
458100,457846
458107,457846
493975,457846
458122,457849
635696,457849
458119,457851
458123,457853
635697,457853
565222,457856
635745,457856
493977,457859
635698,457861
458045,457867
457856,457868
565222,457868
458023,457871
458060,457872
458062,457872
493975,457874
635742,457874
458058,457875
458026,457876
458062,457876
457891,457878
635726,457878
457880,457880
457881,457881
458039,457882
493975,457882
458073,457883
493972,457883
493974,457883
458090,457889
457878,457891
458094,457893
493975,457894
458115,457900
458092,457901
458033,457905
635737,457905
458049,457908
457910,457910
635737,457915
457916,457916
458049,457916
635759,457916
635720,457922
635753,457927
457876,457939
493975,457939
458025,457940
458045,457940
458101,457942
458025,457945
458028,457945
458045,457945
458086,457948
635712,457948
635758,457950
458134,457952
635740,457954
458040,457958
493970,457959
493988,457959
635730,457959
635750,457959
635730,457963
635731,457963
635735,457964
635712,457966
466597,457968
458108,457969
458090,457970
635702,457971
635743,457972
493981,457973
564191,457973
466240,457976
635731,457979
458054,457983
458116,457984
457987,457987
458122,457987
635749,457987
635694,457989
635692,457991
458060,457993
635735,457995
635736,457995
458040,457996
458054,457997
635713,457998
635726,457999
458034,458000
635738,458002
458004,458004
635730,458005
635750,458005
458107,458009
635713,458010
635720,458016
458076,458019
635694,458021
635708,458032
635688,458040
635750,458040
458061,458045
635709,458046
635730,458049
635743,458055
635714,458058
458069,458059
458020,458062
635700,458062
635750,458070
635758,458076
635700,458081
458101,458082
458106,458082
635717,458082
635722,458082
635759,458083
635683,458087
635683,458089
635710,458091
635715,458093
635721,458101
635726,458101
635758,458101
635715,458105
635685,458107
635749,458107
635696,458122
635697,458123
635683,458124
635681,458125
635723,458126
635703,458129
458040,458133
458049,458133
635688,458133
635750,458133
458107,458140
635749,458140
493978,493970
493972,493974
493972,493975
493974,493975
493978,493975
635708,493981
635683,493982
493983,493983
458119,493984
493970,493988
635742,564189
493981,564191
635745,565222
635713,565227
458039,565229
458061,565229
635684,565231
458114,565232
786511,786512
786542,786521
786578,786526
786538,786538
786545,786546
786551,786557
786559,786568
786506,815797
786513,815800
466736,815801
817548,815801
817549,815801
817598,815801
466893,815803
786547,815803
466736,815808
815801,815808
786518,815809
786575,815817
817602,815817
817611,815817
817546,815818
817596,815818
815815,815820
817558,815822
817599,815823
786559,815825
786530,815826
817556,815826
786572,815827
817611,815828
464434,815833
466892,815833
786577,815833
786511,815837
786511,815840
815821,815841
815858,815841
466231,815846
817560,815848
786512,815850
786566,815851
786544,815854
817567,815854
786553,815855
817579,815855
817585,815856
817596,815858
817611,815861
464434,815863
466892,815863
464434,815864
815815,815865
815819,815865
815897,815869
817586,815869
817601,815869
817591,815874
466231,815878
466736,815880
817577,815881
817613,815885
815859,815886
815808,815887
815799,815890
786558,815891
817601,815891
786523,815892
815796,815892
464434,815893
466892,815893
786575,815895
817596,815895
466736,815896
815801,815896
815924,815896
466736,815897
817601,815897
464434,815898
815808,815899
815808,815901
815858,815901
815902,815901
817596,815901
815810,815903
815904,815903
815905,815903
815905,815904
817598,815904
815904,815905
817598,815905
786527,815906
815796,815909
786531,815910
786547,815911
815857,815911
815808,815912
815858,815912
815796,815917
815810,815918
815825,815918
786549,815919
817578,815919
817581,815919
466409,815921
466888,815923
464434,815924
466736,815924
466892,815924
815896,815924
466737,815925
466231,815926
466419,815926
466887,815926
815796,815926
817556,815926
817567,815926
786544,815927
786515,817419
815796,817419
815868,817419
815893,817420
464640,817422
815925,817422
815893,817426
815889,817427
815891,817427
815858,817429
815900,817429
815901,817429
817596,817429
815858,817430
815912,817430
817596,817430
786542,817431
786572,817431
815905,817431
815815,817432
815825,817432
815918,817432
815897,817433
815799,817434
786511,817435
815900,817437
817596,817437
786528,817438
817577,817438
815900,817439
815873,817440
815876,817440
815907,817440
786555,817441
815876,817441
815922,817441
817605,817446
786533,817449
815854,817454
815858,817457
815902,817457
815821,817458
815900,817458
815902,817458
815913,817458
817596,817458
815858,817459
815900,817459
815902,817459
817546,817459
815906,817460
815908,817460
786572,817464
815904,817464
815905,817464
815810,817465
815895,817468
817469,817468
817567,817469
786566,817472
815808,817472
815835,817472
786572,817473
815833,817473
815880,817473
815897,817473
815904,817473
466736,817474
815902,817475
786575,817476
815895,817476
815906,817476
817596,817476
786543,817479
817570,817480
815860,817481
464434,817482
815860,817482
786566,817484
815808,817484
464451,817487
786553,817489
815855,817489
815910,817504
815880,817505
815904,817505
786523,817510
786555,817511
786555,817512
786569,817512
815858,817515
815900,817515
815920,817519
786574,817523
817523,817523
815922,817529
815858,817539
786525,817552
786548,817554
786516,817555
786516,817556
786517,817557
786559,817558
817575,817567
786521,817569
786556,817580
786579,817581
786545,817587
786506,817591
786518,817597
786542,817601
786575,817602
786497,817605
786511,817612
786512,817612
