id,name
216,"Dragos D. Margineantu"
677,"Nuno Vasconcelos"
704,"César Ferri"
1359,"Peng Shi"
1989,"Malcolm J. A. Strens"
2849,"C. de la Higuera"
5965,"Joelle Pineau"
5992,"Kari Torkkola"
8379,"Zoran Obradovic"
9258,"Jason S. Chang"
10432,"Shien-Shin Tham"
11513,"Zvika Marx"
13297,"Adam Kowalczyk"
14391,"Thomas Zöller"
15055,"Allen R. Hanson"
20454,"Yeun-Bae Kim"
22391,"Francois Rivest"
22727,"Anat Levin"
24223,"Jianbo Shi"
24505,"S. J. Russell"
24522,"Danijel Skočaj"
25329,"Nicholas Roy"
25330,"Fredy Amaya"
25531,"David L. Bean"
26113,"Dan Roth"
26118,"Maneesh K. Singh"
26750,"B. Southall"
26882,"Wei Hong"
27705,"G. J. Streekstra"
27717,"Miroslav Kubat"
28849,"Matthew R. Glickman"
31220,"Marie Rochery"
31994,"Michel Vidal-Naquet"
32626,"Jeffrey Ng"
33052,"Martin Jägersand"
33521,"Ko Nishino"
35030,"Gerald Dalley"
35105,"Roger Moore"
35450,"Franck Thollard"
36692,"Christian Wallraven"
37042,"Geoff Hulten"
38110,"Erwin Marsi"
42158,"Inderjeet Mani"
42849,"A. W. Moore"
42945,"Vinay Bhat"
43547,"Kiran S. Bhat"
44109,"Kenji Furukawa"
45052,"Alistair Willis"
45268,"Dimitrios Katsoulas"
46701,"Yuanzhen Li"
48290,"Matthias Heiler"
48596,"Roland T. Chin"
49731,"Ian Reid"
50062,"J. Freixenet"
51893,"Ehud Reiter"
51977,"C. Grover"
52245,"J. Shotton"
52250,"Andreas Ruf"
52878,"George A. Miller"
52909,"Wee Sun Lee"
54529,"Teruo Koyanagi"
55098,"Dong-Min Woo"
55522,"Maria Petrou"
56955,"Chi-Keung Tang"
57950,"Tao Xiang"
58670,"Choh-Man Teng"
58704,"Timothy Baldwin"
59117,"H Okuno"
59136,"Xavier Llorà"
59648,"Fabrice Heitz"
60382,"Shuntaro Isogai"
60470,"Manu Sridharan"
60786,"Mike Barley"
61452,"Satinder P. Singh"
62099,"Aravind K. Joshi"
62329,"Wayne Iba"
62725,"B. Kimia"
62752,"Greg Slabaugh"
65537,"Yang Song"
68413,"Tadashi Nomoto"
68688,"David Demirdjian"
68922,"K. Hanazawa"
69298,"Prasad V. Tadepalli"
69321,"J. J. Lucena-Molina"
70079,"Josep Maria Garrell i Guiu"
70562,"P. H. S. Torr"
70891,"Ullrich Köthe"
70979,"Joris Vanden Wyngaerd"
71288,"Robin Cooper"
71471,"Dan I Moldovan"
72883,"Edward Schofield"
73050,"Eric E. Bloedorn"
73109,"Wolfgang Heidrich"
74083,"Elli Angelopoulou"
74460,"B. J. Tordoff"
74560,"S. H. Muggleton"
74620,"Richard A. Caruana"
74695,"Michael Felsberg"
74730,"A. M Tekalp"
74878,"Pierre Gurdjos"
75163,"Christophe Chefd'hotel"
79071,"Regina Barzilay"
79096,"M. Harville"
79599,"Amy R. Greenwald"
80842,"Dan Cristea"
82624,"Charles W. Anderson"
83043,"P. Langley"
83044,"P. N. Belhumeur"
83098,"Sergey V. Pakhomov"
84610,"Sugato Basu"
85961,"Ayman Farahat"
86218,"Wenxin Jiang"
86694,"Paul Aarseth"
86912,"R. Deriche"
87067,"Brigham S. Anderson"
87264,"Xavier Muñoz"
89038,"Barbara Rosario"
89673,"Douglas A. Talbert"
91932,"Alexander S. Yeh"
92750,"Christian R. Shelton"
92780,"Hai Tao"
93228,"Xiaopeng Tao"
93301,"Charles X. Ling"
93633,"Nigel Tao"
94424,"Goh Chooi Ling"
94497,"Liang Wang"
95118,"Manfred K Warmuth"
95820,"Ramin Zabih"
95878,"Jason Michael Eisner"
95924,"Suzanne B. Sandmeyer"
96156,"José Gomes"
97085,"Sariel Har-Peled"
97520,"Benny P. L. Lo"
98783,"Chikara Matsunaga"
99157,"Tat-Jen Cham"
