id,name,n_pubs,n_citations,h_index
91299,P. Burt,1,1,1
95940,S. Ahmed,1,0,0
124798,Xiaobo Ren,1,0,0
128935,Steven Rowe,1,0,0
192952,Kirk Roberts,1,1,1
193733,A. Elgammal,6,0,0
222048,A. F. Toal,1,0,0
267740,Tian Xia,1,6,1
274468,Michael I. Jordan,1,0,0
308619,Robert Dale,7,8,1
346809,John Wright,1,0,0
364121,Cruno Cessac,1,0,0
403422,Shenghua Gao,1,0,0
417190,Michael Kipp,1,0,0
431424,Marie-Odile Berger,1,0,0
445154,Martin Zinkevich,3,0,0
445522,Takuya Matsuzaki,8,43,2
446447,Jiebo Luo,2,0,0
458064,Xianfeng Gu,2,0,0
460601,Shasha Xie,1,0,0
477757,Emily M. Bender,3,1,1
482333,J. Taaffe,2,0,0
492328,Dongmei Zhang,1,0,0
500942,Robert Givan,2,0,0
522344,Yi Ma,1,0,0
537753, Qieyun Dai,1,0,0
570578,Staffan Larsson,1,0,0
582004,Jure Leskovec,1,0,0
592167,Ioannis Tsamardinos,1,0,0
606890,Y. Albert Park,2,1,1
681575,Brenda J. Claiborne,1,0,0
752457,Tom Kehler,1,0,0
756637,J. Kittler,1,0,0
768447,Krishna P. Chitrapura,1,0,0
785149,Vamsi K. Ithapu,1,0,0
853394,Rachel Reichman,1,0,0
870152,Chia-ying Lee,1,0,0
873551,Seyed Abolghasem Mirroshandel,1,0,0
898478,Koldo Gojenola,1,0,0
909073,Fahad Alotaiby,1,0,0
916358,Kristy Sim,2,3,1
971217,Qifa Ke,5,2,1
973473,Larry S. Shapiro,2,1,1
977050,Felice Dell'Orletta,1,3,1
1032128,Adriana Roventini,2,0,0
1046254,Nikolaos Kyriazis,2,0,0
1161428,A. L. Gorin,2,5,1
1161527,Shiliang Zhang,1,0,0
1175006,Wolfgang Förstner,4,2,1
1211670,Anne Cuzol,1,0,0
1223588,Soumen Chakrabarti,1,2,1
1239832,E. A. Hendriks,1,0,0
1284067,Bernard Jones,1,0,0
1287554,Chenxi Lin,1,0,0
1322329,Volodimir G. Vovk,4,2,1
1358797,F R Chung,1,0,0
1399375,Sylvie Renaud-LeMasson,1,0,0
1405620,John Novatnack,1,0,0
1479095,Jingrui He,1,0,0
1539011,Kris Concepcion,1,1,1
1539468,Caglayan Dicle,2,0,0
1540364,Sándor Fejes,1,0,0
1551612,John Shawe-Taylor,13,12,2
1570590,M. Toews,1,0,0
1618392,Kent Fujiwara,1,0,0
1652108,Vittorio Ferrari,1,0,0
1668699,Jan-Michael Frahm,7,1,1
1707577,Xiaodong He,6,22,2
737,Haejoong Lee,1,0,0
24728,Gökhan Bakir,1,0,0
35450,Franck Thollard,2,3,1
93633,Nigel Tao,1,1,1
106582,Kanokwut Thanadkran,1,0,0
108594,Behrooz Mahasseni,1,0,0
134338,Jingbin Wang,3,0,0
176351,Hongyan Zhou,1,1,1
176469,Florent Couzinie-Devy,1,0,0
185406,Laurent Sifre,1,0,0
191835,Ole Fogh Olsen,1,0,0
274716,Alain Lecomte,1,0,0
275697,P. F. Felzenszwalb,2,2,1
290478,Bernd Fischer,1,0,0
306888,J. Mrozinski,2,1,1
315401,N. Ireson,1,0,0
325728,Kiril Ribarov,1,61,1
330783,Ryohei Sasano,2,3,1
349181,Yongdong Zhang,1,0,0
359452,Yu-Chiang Frank Wang,1,0,0
370466,Masakazu Seno,1,4,1
374316,Markus Weber,2,6,2
384922,Zhenmin Tang,1,0,0
461893, Junzhou Huang,3,0,0
490027,William Finnoff,2,0,0
493101,Liang Li,1,0,0
494653,Jerome H. Friedman,1,0,0
509816,Garbis Salgian,1,1,1
537830, Seungkyu Lee,1,0,0
550923,Zoubin Ghahramani,12,13,2
568091,Dimitri Metaxas,19,14,2
576768,Pierre Moulon,1,0,0
621358,James Davis,1,0,0
641096,Zheng-Yu Niu,7,10,2
654563,Gary Neil Tajchman,1,0,0
662774,Emanuele Rodolà,4,0,0
723871,Hongche Liu,1,0,0
724716,Minwoo Park,1,0,0
733865,Evgeniy Gabrilovich,2,1,1
793634,S. Das,1,0,0
826079,Sing Bing Kang,1,0,0
854599,Austin J. Peck,1,0,0
871730,Csaba Oravecz,1,1,1
877192,Peter Tu,1,0,0
889791,P. Fua,4,0,0
893280,Erika Rimkutė,1,0,0
903953,R. Mammone,1,1,1
913025,Derek Bradley,1,0,0
918963,Matt Garley,1,0,0
922323,Satoshi Sato,2,0,0
928127,Danny Barash,1,0,0
935725,Sergio Grau Puerto,1,2,1
948215,A. Aggarwal,1,0,0
951925,Vladimir Bychkovsky,2,0,0
990997,Jaco Vermaak,3,3,1
995035,Steve Seitz,14,9,1
1004064,Daniel E. Stevenson,1,0,0
1015206,Minghan Hu,1,1,1
1030022,Pierre Kornprobst,3,1,1
1061410,S. Kevin Zhou,1,0,0
1062151,Denise Danielson,4,2,1
1071818,Jane Shore,1,0,0
1077025,Henk Muller,1,1,1
1110812,Jiali Zhao,1,0,0
1120562,Stéphane Laveau,1,1,1
1121611,David Hall,4,3,1
1126833,Shen Hu,1,1,1
1133830,Michael Schroeder,1,1,1
1155528,R W Prager,1,0,0
1166090,Sylvain Bouix,2,2,1
1206952,Andrés Bruhn,2,1,1
1293207,Fabrizio Morbini,1,0,0
1312232,Milena Hnátková,1,0,0
1325462,John J. Godfrey,3,22,1
1333179,Shai Fine,2,0,0
1339272,Matthias Rychetsky,1,0,0
1343461,Bing Liu,11,11,2
1349638,Charles J. Fillmore,2,2,1
1356398,Xin Li,1,0,0
1401628,Francine Chen,1,3,1
1402283,Cheryl Lau,1,0,0
1422388,Jeffrey Heinz,4,4,2
1453249,Isaac Persing,2,1,1
1458724,Luo Si,1,0,0
1536320,Sanjoy Dasgupta,3,1,1
1562014,Christopher S. G. Khoo,1,0,0
1672791,Tingting Jiang,1,0,0
31,Jianbo Liu,1,0,0
54172,James R. Diebel,1,1,1
65305,Alan L. Yuille,1,0,0
75102,William Nick Street,1,1,1
92895,Joachim Bauer,1,0,0
138437,Shengfeng He,1,0,0
150420,Eric Garbin,1,0,0
166775,Howard R. Webber,1,0,0
175750,Ekaterina Shutova,2,3,1
220641,Eduardo de Paiva Alves,1,0,0
224209,Danilo Croce,4,8,2
246328,Karl Pauwels,1,0,0
251015,James A. Pittman,2,1,1
289925,Hongteng Xu,1,0,0
307801,Hairong Qi,1,0,0
318469,Nanfei Sun,1,0,0
322151,Andrew Blake,1,0,0
338274,M. Farenzena,3,0,0
362849,Timothy Bickmore,1,2,1
387060,David C. Wilson,1,0,0
455279,Jaeho Kang,1,13,1
485561,Nanyun Peng,2,0,0
495963,Atul Chhabra,1,0,0
511249,Bharath Hariharan,1,0,0
511593,Sharon L. Oviatt,4,2,1
511834, Xianghua Xie,1,0,0
524551,Henry Thompson,6,5,1
539498,Slav Petrov,13,77,7
549513,D. Sinclair,1,0,0
562612,C. Sbert,1,0,0
566061,S. Shankar Sasrty,1,0,0
584878,Kwang-Sung Jun,1,0,0
602868,Lars Hufnagel,1,0,0
622423,J. Baruthio,1,0,0
637270,Troy Chinen,1,0,0
638001,Zhuoran Wang,1,2,1
638183,Edward DeGuzman,1,3,1
657194,Karl Rohr,2,0,0
674934,Wojciech Chojnacki,2,0,0
690775,Xiaofeng Yu,1,0,0
709615,Venkatesan T. Chakaravarthy,1,1,1
752293,P. N. Garner,1,0,0
758957,Yasuhiro Kodama,1,0,0
804729,Stefan Hinz,1,0,0
840674,Jing Liu,1,1,1
864976,Hwee Tou Ng,31,123,6
887709,Yiming Ying,1,0,0
887845,Mark W. Wright,1,0,0
890460,Erik Rodner,2,0,0
