author_id,topic_id,n_pubs
1312497,2,15
991552,2,12
991524,2,7
291788,1,1
1706888,1,1
1027471,0,1
973473,0,2
929058,0,1
579573,1,1
1452875,0,2
771311,0,2
1083073,0,1
1360723,0,1
654708,2,2
867108,2,1
412555,2,1
1627376,2,2
1118811,2,1
163982,2,1
1202555,2,15
508700,1,1
1149127,2,6
900237,2,1
232065,0,1
537663,0,3
794562,2,1
1583540,2,7
180345,2,2
1629385,2,1
623959,2,1
240749,2,1
451069,2,1
1442762,1,1
1162407,1,1
287090,2,1
525753,2,2
927968,2,2
1504798,2,1
970632,0,1
1111699,1,1
1101666,1,1
737798,2,1
951369,2,1
1599740,2,1
436699,2,2
875600,2,3
1023163,2,4
976229,2,1
888572,2,1
1270986,2,2
592635,2,1
1004894,2,1
824531,2,1
619223,0,2
468499,0,1
781689,0,1
1502365,0,1
1514093,0,1
14733,2,1
1455771,2,1
960106,2,1
1393269,0,1
402664,0,2
1451569,0,1
393556,0,2
487679,0,1
882444,0,1
862914,0,1
442622,0,3
1341841,0,1
908724,0,1
1188511,1,1
1170605,2,20
840329,2,2
1628485,1,1
1456076,0,2
301572,1,3
305565,1,1
1491532,0,1
1158188,0,1
874483,0,1
672079,0,2
473858,1,2
360865,1,1
1589862,1,1
312553,1,2
1622456,1,1
1192964,0,2
376719,0,5
382933,0,1
267283,2,1
767721,2,1
821570,2,2
160955,2,14
833928,2,1
1141034,2,1
1653450,2,1
1212202,2,1
845742,0,1
1312091,0,1
314210,0,1
117765,0,2
821968,0,2
109465,0,1
1057505,0,1
747667,0,1
730315,0,1
285994,1,1
776791,0,2
1195367,2,1
902599,2,2
941960,2,3
1076221,2,6
1640034,2,1
1159601,0,2
32314,2,1
890763,2,1
468422,2,1
10929,2,3
517950,2,2
778173,2,1
166917,0,1
511872,0,1
452663,0,1
308723,0,1
1396050,0,3
359723,0,1
632489,0,1
234836,0,1
1139784,0,3
1143389,0,1
601198,2,1
1608399,2,1
459334,2,1
1345272,2,1
300755,0,2
782268,0,1
576768,0,1
255194,0,1
1555607,0,1
544163,0,1
1336720,0,1
749581,0,1
523906,0,1
1231569,0,1
1537749,0,1
651994,0,2
275155,2,27
361429,1,3
306324,1,2
1419340,1,1
812692,0,2
1271827,1,2
359333,1,1
1626237,1,1
210915,1,1
149504,0,12
1119621,0,1
676014,0,1
1161797,0,3
535800,0,1
1107277,1,1
1118392,1,1
534519,1,1
151238,1,1
1578696,1,1
1271852,1,1
703713,1,1
284404,0,1
1119278,0,1
699838,0,1
1413896,0,1
1616677,0,1
587406,0,1
543662,2,4
538213,2,2
715868,0,2
881071,0,1
483638,0,1
1193999,2,4
210667,2,3
538904,2,1
741456,0,1
669239,0,1
1539589,1,1
508895,2,1
738573,1,1
1447521,0,1
1233090,0,1
738573,0,1
1412023,0,1
90897,0,1
453004,1,1
872136,2,1
1143848,2,1
841632,2,2
904332,2,1
903919,2,1
255874,2,1
1003862,2,1
1162502,2,1
1423342,2,2
1471375,2,3
440717,2,1
753485,0,1
538165,0,2
469946,0,1
507532,0,1
1674782,0,2
1653487,0,1
1520532,0,2
771867,0,1
1464608,0,1
1326408,0,1
1429731,2,1
1644812,2,1
744338,0,1
353110,0,1
1119026,0,1
486966,0,1
1121610,0,2
261065,0,2
1076654,0,1
659332,0,1
425259,0,1
359452,0,1
414492,0,1
476316,0,1
1629941,0,1
453892,0,1
1422134,2,2
945455,0,1
582662,0,3
667831,1,1
59614,1,1
883242,1,3
549316,0,1
1646866,1,1
1310964,0,9
622767,0,1
657406,0,4
1118659,0,1
1616309,0,3
648605,0,1
86218,1,1
555078,1,1
1370179,1,1
539433,1,1
685988,1,2
1513061,1,1
1436757,0,3
1213127,0,1
1026407,2,1
1669525,2,1
1135,2,1
946559,2,1
431509,2,1
529882,2,1
1390508,1,1
1331634,1,1
1536624,0,2
468476,0,4
1645786,0,2
1690877,0,1
63806,0,1
80907,2,3
692375,2,1
639164,2,1
369916,2,2
1107612,2,2
1102905,0,8
747400,0,3
701982,1,1
127221,2,2
673233,0,1
13150,0,1
857561,0,1
498982,2,1
1256766,0,2
1372463,1,1
1336157,2,2
1016023,2,1
1437731,2,2
933210,2,1
200773,2,1
718772,2,1
1191812,2,1
1517767,2,1
816471,2,1
21934,2,1
1609637,2,3
1228990,2,1
989218,0,1
1077470,0,2
1262011,0,1
1161531,0,1
1248477,0,1
546107,0,1
1523011,0,1
1131907,0,1
830966,0,1
1477547,0,1
1565382,0,1
853742,0,2
87050,0,2
1495880,0,1
60300,0,1
660353,0,2
127383,2,20
932771,1,4
1372834,1,1
883308,1,1
1022305,0,2
70562,0,27
1667697,1,3
647707,0,4
923320,0,1
1428394,0,8
1292968,0,1
1459525,0,4
8379,1,1
926153,1,1
659662,1,1
1701367,1,1
1399375,1,1
593165,1,1
848748,0,5
286411,0,1
11287,0,1
1639089,0,1
326658,0,1
387060,0,1
799656,0,3
1133385,0,4
1491735,2,5
914536,2,1
1522439,2,2
1623208,2,1
461134,0,1
421037,0,3
891173,0,1
1223941,2,2
506629,2,1
955185,2,1
516075,2,1
87643,2,1
1128260,0,2
596734,0,1
1410892,0,1
549230,0,1
680635,0,1
699068,1,2
1706160,1,1
1702079,0,2
879761,0,1
685672,0,1
95198,2,4
163342,2,1
1311436,2,1
875089,2,7
1318540,2,20
142386,2,1
101675,0,1
811706,0,5
1393524,1,2
449867,2,2
1484545,2,3
923485,2,1
357788,0,1
1080744,0,5
1203074,0,4
1001312,0,2
1089293,0,1
759285,0,1
286245,0,1
1194923,0,1
165101,0,2
1648641,0,2
1537501,0,1
1538821,0,1
1107299,2,1
962304,2,2
388137,2,1
586736,0,1
186440,0,1
596161,0,1
686530,0,2
599455,0,1
795423,0,1
536442,0,1
293043,0,1
776976,0,1
1311736,0,1
51789,0,1
992688,0,1
410162,2,14
89926,0,2
1325517,1,1
616420,1,1
720285,0,4
1629538,1,2
487132,1,3
1310453,1,1
1602934,1,2
673226,1,1
220797,1,2
548060,1,1
1457636,0,2
22264,0,1
1174798,0,1
405387,0,3
1258193,0,1
715798,0,1
483233,0,1
1117450,0,1
805588,2,1
521167,2,1
140115,2,2
1263048,2,1
1080209,0,1
529841,0,3
568211,2,1
823351,2,6
1509916,2,4
86694,2,1
957685,2,18
129332,0,1
1043852,0,1
813175,0,1
1583324,2,1
1600024,1,1
292616,1,1
1450216,1,1
308723,1,3
380886,0,1
533160,0,1
105664,2,20
134100,2,5
114712,2,1
1430572,2,1
466007,0,1
65827,0,1
1607252,0,1
1494027,2,4
417813,2,1
648523,2,1
849624,2,5
201020,2,2
99709,2,1
1611238,2,1
179533,2,1
1407723,2,1
501828,2,2
477757,2,3
406126,0,3
1159850,0,1
753132,0,1
511743,0,1
942754,0,1
37692,0,2
450520,0,1
239170,0,1
1543637,0,1
703441,0,1
668273,0,1
75110,0,1
1567496,0,1
806669,2,1
318509,2,1
829882,0,1
1652924,0,2
690098,0,1
738380,0,2
733168,0,1
659144,0,1
35930,0,1
755190,0,1
1197116,0,1
1635196,0,11
910678,0,11
546860,2,47
522064,2,2
1093593,1,1
1502905,1,1
956204,0,4
1008882,0,1
59648,0,2
850386,0,3
839850,0,5
24223,0,8
862182,0,1
850650,0,1
1521603,0,1
251015,2,1
705091,2,1
202961,2,1
765068,2,2
621973,2,32
466056,1,2
1524221,2,23
676897,0,1
1546125,2,2
1095147,2,1
909615,2,1
875856,2,1
583550,2,1
794599,2,1
1318057,0,1
392730,0,4
1562574,0,1
511176,0,1
1073536,1,1
990738,2,1
805024,2,1
1337877,1,1
727487,1,1
1682749,1,1
1438996,1,1
1188082,1,1
822569,1,1
485868,2,1
505864,2,7
584138,2,2
1366430,2,1
1521948,2,1
1336673,2,2
1699367,2,1
136464,0,2
1482730,0,1
1380830,1,1
538110,1,1
1034230,2,1
1138655,2,1
1318350,2,4
998369,2,1
858110,2,3
202905,2,3
1352906,2,2
1313752,2,1
1300068,2,1
395373,2,1
1174685,0,4
95937,0,1
468616,0,2
427101,0,1
85619,0,2
1417228,2,2
1442640,2,1
580332,2,1
1582872,0,1
801262,0,1
617422,0,2
1629798,0,1
185406,0,1
1010448,0,1
1536881,0,1
185825,0,1
293443,0,1
448853,0,1
820036,0,2
714500,0,1
1302266,0,1
1198497,0,2
764862,0,1
86912,0,19
1094818,0,8
73860,2,1
1139474,2,4
283900,1,1
42844,1,1
99183,1,1
41123,1,1
368066,1,1
1577302,0,4
867226,0,7
361757,0,1
1355112,1,1
390605,1,1
953034,1,5
1504439,0,1
908267,0,1
876949,0,1
114037,0,1
539697,1,5
1173450,1,1
1508137,1,1
727021,1,2
1014895,1,1
300075,0,1
693836,0,1
1162622,0,1
67290,0,1
1657347,0,1
1674999,0,4
386110,2,1
1306877,2,1
802720,2,1
362733,2,1
675898,1,1
1600170,2,1
318646,0,5
1222321,2,12
1697003,2,3
1485478,2,2
143797,2,1
1135459,0,1
1003168,1,1
1093859,1,4
622186,0,1
717441,0,1
733451,2,15
323948,2,7
1033566,2,1
1018352,2,1
1166240,2,5
477524,2,5
1658385,2,1
1060848,2,2
499865,2,1
117262,2,1
635218,0,5
1512142,0,1
1500266,0,1
1468644,0,1
1186956,0,2
1504426,0,1
1498794,0,1
768059,0,2
1546152,0,1
641130,0,1
312179,0,1
1507938,2,1
1360051,2,1
934546,2,1
235325,0,1
88287,0,1
919959,0,1
1209342,0,1
378044,0,1
743427,0,1
324404,0,1
371759,0,1
712560,0,1
1551792,0,1
701672,0,1
861933,0,1
1659170,0,1
1365167,2,15
912138,2,2
151491,2,2
468873,0,4
1266669,1,1
657646,1,2
385705,1,4
504613,0,14
709028,0,1
875276,0,5
430531,0,1
994049,0,1
1452835,0,3
1283717,0,1
955145,1,3
857060,1,1
821281,1,1
1129742,1,1
966071,1,1
1602205,1,1
327191,0,1
959401,0,1
31994,0,1
251902,2,1
150582,2,4
526048,2,1
193598,1,1
473014,2,2
194999,0,3
289455,0,1
284724,0,2
