article_id_1,article_id_2
748518,89057
748132,89058
748174,89058
748313,89062
89070,89069
748131,89072
748850,89072
747620,89073
748880,89073
748156,89074
748180,89075
748181,89075
748315,89086
748192,89088
748850,89088
748862,89088
748131,89089
748850,89090
747580,99631
747662,99631
748490,99631
99634,99633
99643,99633
103498,99633
103502,99633
103477,99634
103495,99634
103517,99634
103519,99634
99637,99635
99646,99635
99678,99635
103563,99635
103591,99635
103600,99635
89070,99636
89091,99636
103477,99636
103469,99637
103563,99637
817758,99637
103469,99638
103477,99638
103521,99638
817751,99638
817758,99638
817778,99638
99656,99640
103566,99640
103592,99640
817766,99640
89062,99641
103506,99641
817738,99641
817766,99641
817768,99641
747651,99642
748788,99642
103502,99643
103504,99643
99635,99646
99637,99646
99639,99646
103498,99646
103509,99646
114581,99646
817759,99646
99645,99647
103499,99647
103500,99647
103504,99647
103506,99647
103507,99647
103509,99647
103511,99647
748859,99648
748354,99649
748342,99650
748343,99650
89070,99652
817753,99652
99662,99655
103537,99655
748188,99655
748494,99655
89062,99656
99658,99656
103506,99656
89075,99657
99656,99658
103511,99658
89053,99659
89058,99659
99693,99659
103543,99659
103595,99659
748174,99659
748688,99659
817737,99659
817742,99659
817743,99659
103504,99662
89085,99663
103543,99664
103544,99664
103549,99664
103551,99664
103595,99664
103544,99665
103544,99667
817745,99667
99638,99669
103493,99669
103521,99670
817778,99670
103564,99671
103566,99671
89091,99672
103563,99676
103564,99676
103565,99676
103566,99676
103563,99677
103565,99677
103566,99677
817765,99677
99635,99678
99637,99678
103528,99678
103591,99678
817751,99678
817755,99678
817757,99678
817759,99678
89070,99681
817779,99681
89092,99683
89071,99690
103492,99690
103497,99691
103498,99691
103499,99691
103500,99691
103502,99691
89058,99693
103595,99693
748688,99693
817737,99693
817742,99693
103549,99696
748688,99696
748689,99696
748691,99696
748241,99698
748691,99698
103497,99699
103498,99699
103500,99699
103507,99699
103509,99699
817748,99699
817749,99699
89057,99949
89069,99949
89070,99949
103506,99949
103544,99949
103480,99950
103480,99951
748504,99951
748659,99951
817779,99951
103480,99952
103493,103469
817751,103469
817758,103469
817757,103477
817758,103477
817759,103477
748222,103478
748660,103480
817733,103480
748677,103485
748692,103487
89066,103489
747570,103489
747586,103489
747637,103489
748202,103489
748877,103489
748883,103489
748860,103490
103469,103493
817751,103493
817758,103493
103517,103495
103519,103495
89071,103497
817750,103498
817750,103499
103506,103500
103509,103500
114581,103500
817750,103500
817753,103500
817762,103504
89062,103506
817738,103506
817766,103506
817768,103506
817748,103507
89069,103509
89070,103509
114581,103509
817740,103509
817775,103516
817776,103516
103495,103517
103519,103517
103495,103519
817778,103521
89060,103526
89068,103526
89077,103526
817755,103526
817770,103526
817772,103526
89052,103527
89055,103527
89068,103527
89077,103527
817770,103527
817771,103527
817759,103528
103506,103535
103532,103535
817752,103535
89057,103537
747570,103537
748162,103537
748202,103537
748494,103537
748858,103537
817737,103537
103537,103539
747570,103539
748202,103539
817737,103539
748661,103543
747567,103544
817742,103544
748499,103549
103563,103562
103565,103562
103566,103562
103591,103562
103592,103562
103594,103562
89060,103563
103477,103564
103565,103564
89070,103565
103564,103565
89068,103591
817764,103591
817772,103591
89068,103592
89077,103592
817776,103593
89054,103595
103544,103595
748501,103595
748688,103595
817737,103595
817743,103595
89053,103602
89058,103602
89085,103602
817746,103602
817759,103602
817806,103602
89069,114581
89070,114581
103509,114581
748191,114581
748301,114581
817739,114581
817740,114581
817749,114581
817753,114581
280434,280405
465753,280406
272632,280413
466086,280413
280419,280419
466065,280422
280433,280433
280434,280434
280436,280436
465755,280437
465912,280437
466086,280437
564279,280447
280454,280454
280433,280487
280487,280487
465747,280492
565528,280496
748465,280499
280502,280502
280433,280522
280487,280522
592107,457770
592107,457771
592108,457779
625172,457779
457777,457781
457597,457782
457729,457786
458090,457786
625052,457786
457388,457811
457708,457811
457720,457811
565215,457811
592143,457811
625121,457811
457558,457813
458020,457813
592135,457813
625115,457813
718443,457813
458033,457814
458020,457815
718471,457815
457692,457817
592326,457817
457846,457819
458038,457819
458100,457819
458107,457819
592224,457819
592381,457819
635685,457819
718411,457819
592134,457820
635697,457820
592166,457821
170581,457822
457690,457822
457721,457822
457722,457822
457842,457822
457610,457823
457643,457823
592278,457823
635689,457823
457812,457824
458083,457824
592371,457824
718492,457826
457691,457828
635726,457828
718432,457828
458083,457829
458087,457829
458089,457829
458107,457829
592134,457829
592135,457829
592224,457829
592413,457829
635683,457829
457703,457830
458100,457830
458107,457830
592073,457830
635735,457830
635749,457830
457623,457831
592136,457831
592021,457832
457378,457833
457692,457833
635753,457833
457577,457834
457642,457834
457347,457835
458100,457835
458105,457835
458107,457835
592079,457835
592236,457835
592413,457835
565206,457837
635739,457837
457721,457838
458059,457838
458124,457838
170532,457840
180685,457840
458030,457841
592152,457841
625167,457841
718395,457841
458059,457842
635689,457842
718469,457842
635723,457843
457566,457845
457603,457845
592010,457845
592065,457845
457819,457846
458100,457846
458107,457846
493975,457846
592224,457846
592381,457846
625176,457846
592246,457847
458122,457849
592414,457849
625176,457849
635696,457849
457629,457851
457663,457851
458119,457851
592352,457851
457613,457852
457665,457852
565219,457852
592092,457852
592097,457852
592297,457852
718434,457852
718487,457852
458123,457853
592413,457853
625150,457853
635697,457853
565222,457856
635745,457856
718339,457856
457526,457857
457567,457857
592007,457857
592140,457857
592152,457857
592350,457857
457579,457858
457602,457858
457683,457859
457721,457859
493977,457859
592140,457859
457336,457860
457629,457860
718484,457860
718487,457860
457602,457861
592435,457861
635698,457861
592344,457863
718437,457863
457747,457865
592102,457865
718361,457865
170736,457867
457339,457867
458045,457867
592086,457867
718487,457867
457856,457868
565222,457868
457339,457869
592132,457869
457281,457870
457362,457870
457536,457870
457336,457871
457345,457871
458023,457871
718482,457871
170738,457872
457566,457872
457603,457872
458060,457872
458062,457872
592005,457872
718341,457872
718489,457872
457683,457873
592071,457873
592135,457873
625167,457873
493975,457874
592140,457874
592151,457874
592417,457874
635742,457874
180694,457875
457313,457875
458058,457875
625082,457875
718338,457875
457549,457876
457683,457876
457721,457876
457746,457876
458026,457876
458062,457876
592140,457876
592272,457876
625115,457877
457891,457878
625085,457878
625199,457878
635726,457878
718410,457878
457880,457880
457881,457881
457690,457882
457721,457882
458039,457882
493975,457882
592086,457882
592115,457882
625070,457882
625072,457882
718331,457882
718444,457882
457375,457883
457690,457883
457721,457883
458073,457883
493972,457883
493974,457883
625164,457883
718487,457883
457334,457884
592143,457884
180685,457885
592088,457885
592372,457885
457531,457886
625210,457886
457680,457887
457683,457887
592237,457887
592272,457887
625070,457887
592109,457888
718330,457888
458090,457889
592413,457889
718432,457889
592107,457890
592108,457890
625172,457890
457878,457891
592390,457891
625125,457891
625199,457891
718405,457891
457607,457892
457636,457892
625100,457892
718488,457892
458094,457893
718344,457893
457549,457894
457683,457894
457690,457894
493975,457894
625072,457894
457690,457895
457721,457895
592362,457895
625072,457895
718487,457895
592090,457896
592381,457896
592388,457896
457714,457897
280496,457898
592108,457898
718478,457898
592048,457899
592152,457899
457745,457900
458115,457900
457633,457901
457747,457901
458092,457901
718334,457901
718361,457901
592056,457903
592143,457904
458033,457905
592108,457905
592348,457905
592420,457905
635737,457905
592402,457907
458049,457908
592043,457908
592108,457908
457295,457909
457643,457909
457693,457909
457910,457910
457597,457911
625177,457911
718441,457911
465916,457912
592143,457912
718478,457913
592144,457914
635737,457915
457916,457916
458049,457916
592316,457916
635759,457916
718465,457916
170736,457917
457339,457917
457745,457917
592352,457917
625183,457917
592086,457921
592112,457921
592352,457921
592352,457922
635720,457922
718465,457924
718392,457926
635753,457927
592046,457931
457597,457932
592012,457932
718385,457932
718458,457932
457690,457937
592143,457938
457339,457939
457375,457939
457690,457939
457721,457939
457745,457939
457876,457939
493975,457939
591999,457939
592086,457939
592132,457939
457336,457940
