author_id,article_id
874723,78158
1328100,78162
518341,78162
863381,78162
564764,78163
1649697,78163
1028585,78163
780678,78165
1142246,78166
408661,78166
1468109,78166
1440604,78167
5427,78167
1113954,78167
128049,78169
917221,78169
1118519,78170
86912,78170
734488,78170
381610,78170
514810,78172
575016,78172
192388,78174
741194,78174
1566928,78174
1043770,78175
530820,78175
1268610,78175
741194,78176
1699523,78176
555096,78177
615671,78177
874723,78179
505238,78181
450666,78182
1429835,78182
1252983,78183
1534453,78184
1222168,78187
1343026,78187
781098,78190
498728,78191
1285489,78193
326637,78193
1425829,78194
1534453,78194
124490,78195
1196248,78195
647347,78197
190198,78197
141552,78198
501263,78198
382605,78198
651419,78199
1484094,78199
1024965,78199
303450,78200
369220,78200
397860,78200
1495586,78202
1630642,78202
86912,78204
874723,78204
303450,78205
651994,78205
1206493,78208
923428,78209
1616372,78209
732576,78210
190198,78211
826486,78211
660353,78212
1022498,78212
1119112,78212
329565,78212
251272,78213
272658,78213
1540612,78214
192388,78214
1088832,78215
689584,78215
1213362,78217
459422,78220
1652699,78222
1048365,78223
143684,78223
1417840,78224
61707,78224
1099074,78225
513501,78225
1092560,78225
155310,78227
62725,78228
989083,78228
1240079,78228
551288,78229
482333,78231
753924,78231
694258,78231
192388,78231
735662,78231
1671395,78231
1517917,78232
1240079,78232
1169909,78234
1074844,78234
1194519,78234
1668717,78234
1104761,78235
1484094,78236
329817,78237
466059,78237
1335640,78239
253691,78239
1193697,78239
1354946,78239
1635196,78242
1541003,78242
71196,78244
1370344,78247
360852,78247
134136,78250
703586,78250
1475087,78251
41307,78252
274263,78254
1459574,78254
1094818,78254
1635196,78256
562142,78257
719867,78259
531177,78259
1152016,78259
794476,78261
91300,78261
94235,78261
910678,78261
430232,78262
368440,78264
943274,78264
666434,78265
382605,78265
1613022,78265
507571,78265
1242102,78265
1434487,78267
1708379,78267
1277844,78271
375795,78271
1642341,78273
1582702,78273
1370557,78274
1475087,78274
561334,78274
170585,78276
1503464,78277
769489,78277
1060490,78277
144752,78279
843768,78279
1183277,78339
577068,78339
1630228,78339
593708,78340
615671,78340
1207445,78341
149215,78342
1141973,78342
582662,78343
221712,78343
516956,78343
1168041,78343
525740,78345
106051,89052
1352912,89052
299092,89052
1446746,89052
832103,89053
582817,89054
1469483,89055
895745,89055
758430,89055
1217703,89055
557014,89055
1252916,89055
1668129,89055
635502,89055
1659729,89055
1668129,89056
557014,89056
635502,89056
1469483,89056
200070,89057
758430,89057
307771,89057
556452,89057
537416,89057
1175007,89057
1260754,89058
1630380,89058
1077586,89058
1693056,89058
1312497,89059
1289943,89060
1070244,89060
804747,89060
216888,89061
1365167,89062
991552,89063
991524,89063
793156,89064
1082812,89065
650363,89065
1600094,89066
1108079,89067
957864,89068
275155,89069
535511,89070
1170605,89070
134551,89070
275155,89070
517592,89071
754354,89072
618124,89072
1214837,89073
129730,89074
179063,89074
1132741,89075
768825,89076
1081362,89077
472676,89077
1366752,89077
1048821,89077
508666,89077
908564,89077
1480651,89085
473858,89085
1081362,89085
122298,89086
457299,89086
310682,89087
835239,89088
351918,89089
667831,89090
207262,89090
351918,89090
1193776,89090
1401628,89091
163537,89091
1304198,89092
492426,92957
1357692,92957
1474725,99628
806477,99629
539605,99630
1260096,99631
626127,99633
991524,99634
991552,99634
1354463,99634
1078152,99634
1604769,99634
538055,99634
321501,99634
1421606,99634
1213171,99634
430520,99634
957864,99635
134551,99636
1170605,99636
535511,99636
