id,name
31,"Jianbo Liu"
171,"Ben Wegbreit"
216,"Dragos D. Margineantu"
662,"Alfred O. Hero"
674,"J. Gelfand"
677,"Nuno Vasconcelos"
704,"César Ferri"
737,"Haejoong Lee"
814,"Manuela Alexandra S. Pereira Vasconcelos"
968,"Shu-Ming Shi"
986,"Jeremiah Dittmar"
999,"Milan Sonka"
1115,"Henri-Maxime Suchier"
1135,"A. Michael Noll"
1329,"Guangming Shi"
1355,"Min Shi"
1359,"Peng Shi"
1485,"Antonin Chambolle"
1708,"Ivan Bretan"
1857,"Arkady Epshteyn"
1882,"Suha Kwak"
1888,"Zhifang Sui"
1985,"Christine I. Podilchuk"
1989,"Malcolm J. A. Strens"
2161,"Zhe Wu"
2307,"S. G. Lisberger"
2483,"Rafael Muñoz"
2588,"Stephen José Hanson"
2636,"Shin'Ichi Satoh"
2849,"C. de la Higuera"
2918,"Allen Selverston"
3056,"Kurt D. Bollacker"
3147,"A. Basu"
3164,"Anup Basu"
3440,"Agnieszka Mykowiecka"
3546,"G. Wets"
4056,"Zhong Zhang"
4510,"L. D. Griffin"
4832,"Sven Wanner"
4863,"Luca Del Pero"
4971,"Avirup Sil"
5148,"Tatiana Tommasi"
5329,"Volker Müller"
5427,"F. Collange"
5533,"Kevin Walker"
5738,"Liwei Chen"
5965,"Joelle Pineau"
5992,"Kari Torkkola"
6103,"Fanhuai Shi"
6287,"Feida Zhu"
7003,"Jie Zhang"
7163,"J. Hollatz"
7283,"Jason S. Chang"
7321,"Issei Sato"
7519,"Yifan Zhang"
8307,"N. M. Nasrabadi"
8379,"Zoran Obradovic"
8729,"Jian Huang"
8871,"Lars Rohrberg"
8950,"Shuqiang Jiang"
8958,"Jeong woo Son"
9258,"Jason S. Chang"
9273,"Jianxin Wu"
9731,"Andreas S. Weigend"
9841,"D. Shastri"
9961,"P. C. Woodland"
10022,"Lokendra Shastri"
10100,"Shicheng Zheng"
10219,"Massimo Piccardi"
10274,"Natasa Milic-Frayling"
10285,"C. W. Wightman"
10380,"Thomas J. Anastasio"
10432,"Shien-Shin Tham"
10494,"Maayan Geffet"
10722,"Patrick Haffner"
10929,"Asad B. Sayeed"
10933,"Haibin Ling"
11004,"J. Yuen"
11060,"Li Zhang"
11241,"B. Lautrup"
11246,"Haibing Ling"
11287,"K. Karasaki"
11513,"Zvika Marx"
11540,"Joseph Z. Chang"
11687,"Françoise J. Prêteux"
11714,"Masashi Toyoda"
11721,"D. Young"
12402,"Laurence Danlos"
12410,"Wei-Hua Wang"
12539,"Pei-hsiu Suen"
12640,"Sunil Issar"
12665,"Bryan S. Morse"
12716,"David Buttler"
12958,"Jiaolong Yang"
13068,"Ron Bekkerman"
13070,"Yevgen Voronenko"
13150,"S. C. Zhang"
13278,"Ryszard Kowalczyk"
13297,"Adam Kowalczyk"
13635,"W. Neuenschwander"
13666,"Wen Wu"
13674,"Martin Volk"
13791,"T. Thórhallson"
13946,"Dimitris N. Metaxas"
14056,"Pierluigi Crescenzi"
14147,"B. Bly"
14194,"Sara Fernández-Vidal"
14391,"Thomas Zöller"
14400,"G. Singh Manku"
14733,"Jason S. Chang"
15008,"Nanette Marie Veilleux"
15055,"Allen R. Hanson"
15499,"G Dreyfus"
15809,"Yonggang Shi"
15974,"Marsden S. Blois"
16617,"S. M. Shahed"
17405,"Florent Lafarge"
17627,"Asuka Sumida"
18682,"Hian Beng Lee"
20449,"J. A. Marshall"
20454,"Yeun-Bae Kim"
20678,"Jay Summet"
20699,"Edward Whittaker"
20767,"Greg Carlson"
21133,"Weiming Hu"
21842,"Peisen Huang"
21934,"Thomas Meyer"
22022,"Randall Davis"
22066,"Derrick Parkhurst"
22178,"Abbas Rafii"
22264,"I. Rigoutsos"
22265,"Isidore Rigoutsos"
22289,"Itay Gat"
22391,"Francois Rivest"
22727,"Anat Levin"
22857,"Silvia Zuffi"
22931,"Behzad Kamgar-Parsi"
23216,"Lori Levin"
23343,"Zheng-Yu Zhou"
23494,"J. A. Levin"
23580,"Esther Levin"
24071,"Stefanie Tomko"
24223,"Jianbo Shi"
24291,"Arunava Banerjee"
24311,"Andrey Sharf"
24317,"Michael J. Jones"
24399,"João Xavier"
24418,"Christophe Fouqueré"
24505,"S. J. Russell"
24522,"Danijel Skočaj"
24728,"Gökhan Bakir"
24869,"Vivek Verma"
24933,"Richard Rohwer"
25020,"Daniil Ryabko"
25243,"Rafał P. Sałustowicz"
25276,"E. L. Schwartz"
25329,"Nicholas Roy"
25330,"Fredy Amaya"
25390,"Hans-Peter Seidel"
25421,"A. J. Stoddart"
25468,"Frank Dellaert"
25531,"David L. Bean"
25533,"M Bates"
25547,"Wei Wang"
25599,"D Schwartz"
25634,"P. S. Krishnaprasad"
25705,"Mark A. Jones"
25804,"Peter Rappelsberger"
25821,"André Guéziec"
25865,"Fabián Pacheco"
26066,"Carmen Banea"
26099,"Meghna Singh"
26113,"Dan Roth"
26118,"Maneesh K. Singh"
26338,"Raquel Romano"
26428,"Federico Camposeco"
26502,"Jaques Robin"
26581,"Pengyu Hong"
26616,"Tao Hong"
26621,"Tsai-Hong Hong"
26750,"B. Southall"
26826,"Denis Filimonov"
26882,"Wei Hong"
26944,"Ikushi Yoda"
27202,"Fabio Ciravegna"
27337,"Makoto Hirayama"
27348,"Luc Berthouze"
27370,"Keith J. Hanna"
27445,"James Cant"
27697,"Xavier Carreras"
27705,"G. J. Streekstra"
27717,"Miroslav Kubat"
27845,"Elad Hazan"
28279,"H H S Ip"
28849,"Matthew R. Glickman"
28962,"Nikhil Naikal"
29195,"J. Odobez"
