author_id,country_id
31,104
171,192
216,161
662,225
674,161
677,35
704,64
737,53
814,218
968,221
986,28
999,35
1115,53
1135,12
1329,64
1355,45
1359,35
1485,45
1708,35
1857,40
1882,130
1888,53
1985,53
1989,13
2161,53
2307,225
2483,221
2588,35
2636,174
2849,211
2918,35
3056,106
3147,28
3164,53
3440,71
3546,45
4056,101
4510,35
4832,106
4863,106
4971,104
5148,55
5329,28
5427,91
5533,53
5738,225
5965,225
5992,242
6103,99
6287,225
7003,53
7163,242
7283,35
7321,218
7519,106
8307,153
8379,84
8729,225
8871,28
8950,64
8958,218
9258,174
9273,28
9731,60
9841,35
9961,101
10022,225
10100,53
10219,225
10274,53
10285,225
10380,110
10432,172
10494,51
10722,110
10929,13
10933,64
11004,71
11060,221
11241,55
11246,84
11287,13
11513,12
11540,242
11687,64
11714,10
11721,104
12402,53
12410,242
12539,66
12640,13
12665,161
12716,172
12958,109
13068,104
13070,225
13150,35
13278,118
13297,162
13635,101
13666,101
13674,101
13791,45
13946,225
14056,53
14147,225
14194,13
14391,45
14400,35
14733,106
15008,19
15055,186
15499,91
15809,218
15974,51
16617,13
17405,10
17627,106
18682,162
20449,13
20454,53
20678,53
20699,225
20767,110
21133,218
21842,106
21934,53
22022,53
22066,99
22178,166
22264,45
22265,28
22289,35
22391,35
22727,13
22857,225
22931,52
23216,28
23343,225
23494,45
23580,43
24071,66
24223,225
24291,35
24311,101
24317,218
24399,13
24418,225
24505,52
24522,45
24728,13
24869,109
24933,218
25020,101
25243,64
25276,53
25329,225
25330,71
25390,35
25421,53
25468,225
25531,109
25533,53
25547,161
25599,53
25634,53
25705,53
25804,12
25821,211
25865,184
26066,12
26099,53
26113,101
26118,53
26338,35
26428,53
26502,162
26581,172
26616,53
26621,45
26750,53
26826,53
26882,18
26944,101
27202,101
27337,161
27348,12
27370,28
27445,104
27697,166
27705,225
27717,106
27845,18
28279,225
28849,53
28962,53
29195,71
29568,225
29616,45
29746,53
29760,91
29792,35
30468,221
30766,53
31075,99
31220,101
31225,225
31326,225
31492,28
31994,225
32135,109
32219,71
32223,13
32314,162
32626,101
32697,225
32813,35
33052,225
33054,28
33131,53
33165,101
33187,225
33273,13
33308,104
33312,110
33521,71
33573,218
33924,53
34056,101
34400,101
34424,225
34548,225
35009,53
35030,218
35105,109
35417,91
35450,53
35545,101
35582,123
35930,28
36092,12
36107,53
36589,53
36601,13
36614,193
36692,13
36724,225
36803,45
36860,53
36971,53
37042,45
37212,225
37234,225
37313,123
37372,28
37546,53
37692,35
37714,35
37896,174
38027,53
38042,225
38080,35
38110,53
38147,225
38211,161
38557,45
38772,161
38777,106
38906,13
38924,13
38931,35
38959,91
39033,53
39059,53
39090,45
39347,110
39354,221
39429,45
39738,40
39983,161
40033,51
40035,51
40243,84
40346,84
40539,101
40558,225
41022,35
41123,101
41307,225
41701,118
41726,13
41757,110
42044,118
42158,35
42237,13
42582,225
42593,161
42700,45
42844,45
42849,96
42945,225
42971,53
43425,45
43496,225
43512,35
43547,53
43742,101
43907,218
44015,35
44109,161
44313,96
44365,101
44735,218
45052,40
45188,43
45268,225
45362,12
45389,35
45562,84
45906,218
46042,179
46114,28
46171,193
46241,28
46397,225
46507,161
46701,101
46722,242
46750,53
46942,52
47180,12
47303,186
47638,99
47698,45
47884,106
48290,53
48544,35
48566,55
48596,218
48645,99
48666,161
48714,35
48739,55
48750,35
48797,40
48808,225
48957,35
49168,101
49200,218
49406,53
49638,13
49644,64
49731,221
49846,35
50039,53
50062,101
50107,71
50168,13
50396,101
50426,148
50648,51
50652,18
50695,166
50865,45
50971,45
51107,123
51225,218
51286,225
51424,53
51789,51
51878,53
51893,35
51977,53
52178,101
52213,35
52245,101
52250,106
52601,225
52860,12
52878,12
52909,161
53083,225
53217,35
53303,45
53385,225
53410,106
53843,40
53907,96
53920,53
54000,53
54072,179
54088,106
54172,64
54348,28
54376,106
54529,101
54642,218
54646,35
54657,101
54677,55
54870,106
54901,66
54927,84
54940,225
54976,118
54981,53
54996,52
55045,64
55098,182
55146,193
55150,161
55184,225
55258,182
55312,118
55406,53
55450,53
55492,106
55522,52
55744,101
56215,91
56338,53
56362,162
56513,53
56678,45
56856,242
56861,186
56915,45
56955,53
57026,28
57225,225
57289,225
57403,52
57449,221
57450,101
57526,225
57574,174
57636,91
57666,221
57913,53
57950,45
57952,193
57966,161
58104,71
58474,35
58511,225
58535,45
58541,118
58644,182
58647,225
58670,12
58704,28
58710,45
58819,13
58925,28
59117,53
59136,218
59214,221
59420,35
59436,13
59482,225
59599,101
59611,101
59614,153
59627,225
59648,106
59795,106
59943,55
60082,192
60185,101
60300,64
60336,40
60382,53
60425,225
60445,104
60470,225
60594,35
60786,193
60831,53
61452,53
61580,162
61652,110
61707,64
61850,218
61879,53
61926,53
61973,106
62099,12
62329,53
62429,52
62725,193
62730,109
62752,225
62862,53
62889,45
63158,101
63806,12
64061,101
64286,35
64290,53
64318,35
64361,96
64426,99
64540,162
64564,45
64667,35
64746,53
64834,174
64892,218
65305,28
65537,101
65637,123
65827,55
66214,35
66456,106
66564,218
66710,53
66922,53
67182,71
67218,64
67226,28
67290,118
67301,35
67310,166
67373,53
67706,71
67721,109
67783,43
67859,225
67916,53
67957,53
68061,13
68093,12
68413,53
68532,53
68547,179
68623,106
68688,28
68771,179
68775,179
68922,53
68935,53
68960,174
68983,35
68987,106
69072,109
69073,225
69298,225
69302,13
69321,40
69593,225
69654,118
69761,53
69885,53
69951,225
70079,123
70088,53
70301,218
70304,101
70420,45
70562,53
70616,45
70618,161
70662,13
70807,28
70889,192
70891,101
70979,166
71078,225
71196,192
71288,188
71354,186
71471,225
71559,193
71681,99
71936,192
71957,110
71980,106
72746,101
72747,91
72883,53
73034,28
73050,218
73066,64
73109,45
73250,225
73339,225
73364,99
73389,161
73860,172
73861,106
73895,53
74083,192
74141,225
74157,225
74203,40
74259,53
74384,35
74460,12
74560,162
74620,225
74695,53
74703,53
74730,45
74878,45
74890,53
75102,66
75110,53
75163,101
75423,53
76079,84
76300,53
76355,101
76686,221
77324,225
77631,53
77697,225
77861,64
77900,192
77911,28
78081,192
78548,221
78560,45
78676,53
78677,45
78725,45
78935,225
79071,101
79096,35
79256,91
79454,225
79599,225
79940,174
79947,35
80539,101
80740,53
80842,45
80907,53
80949,53
81258,46
81325,53
81497,161
81584,51
81873,13
81925,225
81940,53
81946,161
82152,84
82275,53
82624,225
82674,28
82722,104
82982,28
83024,52
83043,71
83044,28
83053,45
83098,53
83153,101
83197,45
83204,53
83360,130
83421,45
83443,225
83658,28
83701,71
83762,13
83878,45
84112,13
84180,35
84183,101
84448,45
84543,218
84569,45
84607,45
84610,46
84803,28
84883,161
84914,106
84944,13
85317,28
85619,53
85803,35
85885,182
85896,51
85961,12
86086,106
86166,53
86218,53
86465,45
86478,218
86573,91
86693,45
86694,45
86726,225
86912,12
87050,225
87067,53
87070,45
87079,101
87126,218
87264,35
87371,162
87531,161
87635,218
87639,19
87643,101
87815,28
88199,225
88287,35
88309,91
88781,218
89037,225
89038,64
89075,225
89357,184
89673,53
89715,84
89740,53
89884,225
89926,218
90240,192
90280,225
90329,45
90424,148
90669,118
90852,225
90897,225
91300,53
91818,161
91887,225
91932,101
92005,53
92050,53
92168,53
92364,225
92367,53
92373,101
92534,71
92643,161
92660,35
92691,35
92709,161
92750,45
92780,101
92859,35
92895,53
92918,218
92964,12
93082,225
