id,name,n_pubs,n_citations,h_index
308619,Robert Dale,1,0,0
417190,Michael Kipp,1,0,0
445154,Martin Zinkevich,2,0,0
500942,Robert Givan,1,0,0
1161428,A. L. Gorin,1,0,0
1175006,Wolfgang Förstner,1,0,0
1322329,Volodimir G. Vovk,2,0,0
1358797,F R Chung,1,0,0
1551612,John Shawe-Taylor,8,0,0
1570590,M. Toews,1,0,0
35450,Franck Thollard,2,0,0
93633,Nigel Tao,1,0,0
274716,Alain Lecomte,1,0,0
374316,Markus Weber,1,3,1
568091,Dimitri Metaxas,1,1,1
877192,Peter Tu,1,0,0
922323,Satoshi Sato,2,0,0
990997,Jaco Vermaak,3,1,1
995035,Steve Seitz,2,0,0
1077025,Henk Muller,1,1,1
1166090,Sylvain Bouix,2,2,1
1333179,Shai Fine,1,0,0
1339272,Matthias Rychetsky,1,0,0
1343461,Bing Liu,1,0,0
1349638,Charles J. Fillmore,1,0,0
1562014,Christopher S. G. Khoo,1,0,0
338274,M. Farenzena,1,0,0
362849,Timothy Bickmore,1,0,0
387060,David C. Wilson,1,0,0
539498,Slav Petrov,1,0,0
864976,Hwee Tou Ng,3,0,0
964474,Hai Tao,1,0,0
1018007,Zhizhou Wang,1,0,0
1133910,Georgios Petasis,1,0,0
1291122,L. Torgo,1,0,0
1603275,Srinivas Bangalore,2,2,1
1669861,Václav Hlavác,1,1,1
106304,David Ronghwa Chiang,3,3,1
362496,Cecilia Mazzaro,1,0,0
436018,Diane J. Cook,1,0,0
447560,Frederic Richard,1,0,0
654910,Bernhard Schökopf,1,1,1
849964,C. D. Spyropoulos,2,0,0
1188067,Roni Khardon,1,0,0
1292542,Bill Triggs,1,5,1
1582834,Amit Sethi,1,0,0
445010,H. Hassan,1,1,1
771611,Ting Liu,1,0,0
812683,Marta Wilczkowiak,2,0,0
909394,Kohji Dohsaka,1,1,1
1136650,Ryosuke Isotani,1,0,0
1283717,John L. Barron,1,0,0
1441522,Chris Stauffer,1,0,0
1442475,Neil A. Thacker,1,0,0
1584077,M. Pavel,1,0,0
84610,Sugato Basu,1,0,0
530430,Frédéric Guichard Jean-Philippe Tarel,1,2,1
579573,Yaoyong Li,1,0,0
690728,David Stirling,1,0,0
803617,Michael Johnston,1,1,1
875626,Wenwei Yu,1,0,0
919617,Eleazar Eskin,1,0,0
1190103,F. Dornaika,1,0,0
1260856,Yoav Y. Schechner,3,3,1
1292968,Reuven Zaritsky,1,0,0
1412700,B. Stenger,1,0,0
1502066,Dimitrios Kalles,1,0,0
1576992,Lars Bretzner,1,0,0
1589023,Hanning Zhou,1,0,0
1673638,Malvina Nissim,1,0,0
