author_id,topic_id,n_pubs
579573,1,1
1083073,0,1
1360723,0,1
1149127,2,2
900237,2,1
1583540,2,4
874483,0,1
672079,0,1
473858,1,2
312553,1,2
1622456,1,1
160955,2,2
1653450,2,1
535800,0,1
149504,0,4
1161797,0,2
1107277,1,1
1118392,1,1
151238,1,1
1578696,1,1
1271852,1,1
703713,1,1
306324,1,1
587406,0,1
1193999,2,2
210667,2,2
1118659,0,1
1616309,0,2
648605,0,1
86218,1,1
555078,1,1
539433,1,1
685988,1,2
1310964,0,3
1436757,0,1
1213127,0,1
639164,2,1
70562,0,8
1428394,0,3
1292968,0,1
1459525,0,1
8379,1,1
926153,1,1
659662,1,1
1701367,1,1
848748,0,1
387060,0,1
799656,0,1
1133385,0,2
1623208,2,1
1491735,2,1
1629538,1,1
487132,1,1
1602934,1,1
673226,1,1
220797,1,1
548060,1,1
1457636,0,1
1117450,0,1
720285,0,1
405387,0,1
568211,2,1
823351,2,1
1509916,2,2
86694,2,1
957685,2,1
1635196,0,1
850386,0,1
956204,0,1
839850,0,1
910678,0,2
59648,0,1
24223,0,2
1521603,0,1
1524221,2,3
765068,2,1
621973,2,1
953034,1,3
86912,0,6
876949,0,1
114037,0,1
1577302,0,1
539697,1,2
1014895,1,1
1674999,0,1
1600170,2,1
1697003,2,1
1485478,2,1
468873,0,2
504613,0,3
994049,0,1
1452835,0,1
1283717,0,1
385705,1,1
955145,1,1
1129742,1,1
966071,1,1
875276,0,1
31994,0,1
473014,2,2
150582,2,1
636945,1,1
1512456,1,1
1629771,1,1
1460351,1,1
440634,0,2
338274,0,1
1404682,2,1
11513,2,1
68922,2,1
1704302,0,1
161195,0,1
33052,0,1
1262431,1,1
404573,2,1
681533,2,1
1325885,2,1
1062485,2,1
143684,0,6
955646,0,1
95820,0,6
717448,1,1
1177270,1,2
677887,1,1
1540887,1,2
1695710,1,1
1119781,1,1
1428133,0,2
33521,0,1
1360969,0,1
922337,0,1
667831,2,1
1287428,2,1
800771,2,1
1630382,2,1
577389,2,1
1453964,2,1
910458,2,2
1177970,0,1
460609,0,1
1571641,1,1
1460683,1,1
1242943,1,1
1697170,1,2
582824,1,1
1122308,0,2
1602343,0,1
242807,0,1
1142069,2,2
1280656,2,1
1340682,2,1
226392,2,1
573826,2,1
1060150,2,1
1027446,2,1
74878,0,1
430119,0,2
261022,0,3
902181,0,1
1619678,0,1
1196248,0,1
519908,0,1
1343461,1,1
1623743,1,1
1667714,1,1
1687541,1,1
442502,0,1
346275,0,1
1165140,0,1
926153,0,1
1128186,2,1
1027328,2,1
905637,2,1
1306717,2,3
539853,2,1
5965,2,1
451678,0,1
410719,0,1
450666,0,4
604911,1,1
1115858,1,1
1219425,1,1
263360,1,1
1589023,0,1
1053031,2,2
1369867,2,2
242262,2,1
1229340,2,2
853672,2,1
561805,2,1
1194519,0,12
532167,0,11
354127,2,1
89038,2,1
38110,2,1
1596333,0,2
968113,0,1
1098396,0,3
14391,0,1
1111973,0,2
1418035,0,1
485204,1,1
649279,1,1
5992,1,2
909394,2,1
1266815,2,2
1666773,2,1
1343012,2,1
1197328,0,2
1179064,0,4
1090577,0,1
446367,1,1
62752,0,1
852087,0,1
1028091,2,1
1571972,2,1
482450,0,2
1618960,0,4
1131476,0,1
1558978,0,1
93633,1,1
1125836,1,1
1441259,1,1
702397,2,2
793909,2,1
492319,2,1
417190,2,1
1262467,0,2
566321,0,2
1008226,0,1
709906,1,1
1287476,1,1
1495780,1,1
633711,1,1
530430,0,1
656503,0,1
1137328,0,1
1466400,2,2
1180305,2,1
594577,0,1
1380776,1,1
547814,1,1
1074844,0,1
1354118,0,1
479964,2,3
803370,2,1
1372581,2,1
103600,2,1
294461,2,1
1526884,0,2
75163,0,1
1169909,0,5
1665372,0,2
514162,0,2
1197658,1,2
329899,1,1
1008173,1,1
891928,1,1
321545,1,1
253818,0,1
304174,0,1
840117,0,1
100313,0,1
1693774,2,1
543529,2,1
1062154,2,1
161015,2,2
445010,2,1
956449,0,1
1163227,0,1
377630,0,1
441955,0,1
1444730,0,1
452087,1,1
1014154,1,1
831699,1,1
52909,1,1
112310,2,1
304819,2,1
179257,2,1
405756,2,1
1231463,2,1
305938,0,1
1330471,0,2
575972,0,4
13297,1,1
58670,1,1
1640260,1,1
539578,2,1
1604991,2,1
553877,2,1
526246,2,1
1052108,0,1
1149509,0,2
235117,0,1
752845,1,1
318275,1,2
150281,0,1
720243,0,1
1594505,0,1
790878,2,3
364672,2,1
284658,2,3
531299,2,2
842130,2,1
463450,2,1
119404,2,2
1565479,1,1
929627,0,5
79096,0,1
159006,1,1
203712,1,1
1694590,1,1
192242,1,1
1638854,0,1
515593,0,1
994130,0,1
288902,2,1
1677786,2,1
1114942,0,9
521844,1,2
644962,1,1
611723,1,1
1302047,1,1
70079,1,1
1556428,0,2
539498,0,1
791499,0,1
377961,2,1
299976,2,1
1101206,0,1
223474,0,1
605040,0,1
930851,0,1
882006,1,2
1354465,1,1
446365,1,1
1180582,0,2
621348,0,1
1328687,2,1
510843,2,1
186193,2,1
1332663,2,1
357899,2,1
1136650,2,1
390043,2,1
1660145,2,1
97520,0,1
290258,0,2
1228838,1,1
1670596,1,1
1168602,2,1
393929,2,2
830170,2,3
901706,0,2
837424,0,1
340358,0,1
436018,1,1
1638244,1,1
899610,0,1
650363,2,4
420268,2,1
174042,2,1
308082,0,1
1654895,0,3
621166,0,2
1192739,0,3
358163,0,3
324419,0,1
732007,0,1
993726,1,2
1290415,1,1
1429034,1,2
1430839,0,1
467652,0,1
816350,0,2
880722,2,2
1300290,2,1
524175,2,1
836788,2,1
87264,0,1
619018,0,1
1657600,1,1
583529,1,1
1150127,1,1
1631565,2,2
543654,2,4
989083,0,2
788472,1,1
959454,1,1
535952,1,1
1604728,1,1
1351785,1,2
1629618,0,4
475922,2,2
1612766,2,1
741385,2,1
1615886,0,3
1190103,0,1
1629533,1,2
430117,1,1
849964,1,1
1550293,1,1
111250,1,1
442114,0,2
766575,2,1
1107594,1,5
93301,1,2
883802,1,1
84610,1,1
1688000,1,1
1408251,0,2
173903,0,2
1222902,2,6
445148,2,3
1679253,2,1
524382,0,2
459319,0,3
903057,0,2
1175006,0,1
536687,1,1
1327115,1,1
897671,1,1
574064,1,1
1357162,0,1
466059,0,12
756639,0,1
488988,0,1
1062506,1,1
550371,1,1
1091255,0,2
1176385,2,1
1510099,2,1
85961,2,1
1156563,0,1
1579065,0,2
1604579,0,1
1440831,0,1
215670,0,2
1339272,1,1
418828,2,1
231837,2,1
417771,2,1
884692,0,1
917221,0,3
405178,0,1
308058,0,2
604755,1,1
1621104,1,1
162506,0,1
805614,0,1
363034,0,1
1014074,0,1
1479900,2,3
1604769,2,1
834708,2,1
1535303,2,3
1546002,2,1
924437,2,1
796390,2,1
574732,0,4
394952,0,2
126806,1,1
1623185,1,1
1004977,1,1
1555647,1,1
1263423,0,2
662407,0,1
1674341,2,3
507307,2,1
519291,2,1
1397702,2,1
1652699,0,6
825099,0,1
290916,0,1
477008,0,3
1665372,1,1
1648038,0,1
922323,2,2
1274123,2,1
1666614,0,1
264363,0,2
145422,1,1
1602638,1,1
491856,1,1
24505,1,2
575691,1,1
1528250,0,1
1524848,2,1
110423,0,1
55522,0,1
97085,1,1
209203,0,1
52878,2,1
1480655,2,3
1448955,2,1
831462,2,1
250660,2,2
471815,2,1
422403,0,1
420676,0,1
793368,0,3
708915,0,2
127997,1,1
139507,1,1
1090046,1,1
632893,0,2
1035464,0,1
982785,2,2
1624015,2,1
231976,2,1
1486455,2,1
786128,0,1
794476,0,1
68688,0,2
1612923,1,1
1175212,1,1
1186909,1,1
417108,0,1
406502,0,2
48290,0,1
402782,2,2
42158,2,3
1663159,2,1
