id,name
0,Australian National University
1,CMI
2,Chinese Academy of Sciences
3,Chinese University of Hong Kong
4,DTU
5,Durham University
6,ETH Zurich
7,ETS Montreal
8,Federal University of Rio Grande
9,Freie Universitaet Berlin
10,Galatasaray University
11,Goethe University Frankfurt
12,Goldsmiths University of London
13,Harbin Institute of Technology
14,IISc Bangalore
15,IIT Bombay
16,IIT Delhi
17,Imperial College London
18,Korea University
19,McGill University
20,Monash University
21,National Taiwan University
22,National University of Singapore
23,Osaka University
24,Seoul National University
25,TU Braunschweig
26,The Hong Kong Polytechnic University
27,Tokyo Institute of Technology
28,University College London
29,University of British Columbia
30,University of Cambridge
31,University of Copenhagen
32,University of Hong Kong
33,University of Manchester
34,University of Melbourne
35,University of Ottawa
36,University of Oxford
37,Uppsala University
